"","Sample_Name","Tube_Sample","Sample","Group","Seedling_sp","Mother_sp","Seedling_ID","Soil_ID","Tube_label","Seedling_status_at_collection","Date_sample_collected","Extraction_date","Sample_type","Sample_weight_mg","Notes"
"100","STRI_F_R089","F_R089","R089","FUN",NA,NA,"42320_0803_2_03",NA,"UR089","",20191002,NA,"Unsterile root",15.7,""
"101","STRI_O_R089","O_R089","R089","OOMY",NA,NA,"42320_0803_2_04",NA,"UR090","",20191002,NA,"Unsterile root",15.7,""
"102","STRI_F_R092","F_R092","R092","FUN",NA,NA,"01401_0407_2_01",NA,"UR092","",20191003,NA,"Unsterile root",32.3,""
"103","STRI_F_R095","F_R095","R095","FUN",NA,NA,"42320_0820_1_07",NA,"UR095","",20191011,NA,"Unsterile root",9.5,""
"104","STRI_F_R098","F_R098","R098","FUN",NA,NA,"58779_0820_1_08",NA,"UR098","",20190814,NA,"Unsterile root",2.1,""
"105","STRI_F_R099","F_R099","R099","FUN",NA,NA,"12249_0820_1_04",NA,"UR099","",20190903,NA,"Unsterile root",1.7,""
"106","STRI_F_R102","F_R102","R102","FUN",NA,NA,"42320_1901_1_01",NA,"UR102","",20190927,NA,"Unsterile root",3.5,""
"107","STRI_O_R102","O_R102","R102","OOMY",NA,NA,"42320_1901_1_02",NA,"UR103","",20190927,NA,"Unsterile root",3.5,""
"108","STRI_F_R106","F_R106","R106","FUN",NA,NA,"12249_0407_2_01",NA,"UR106","",20190920,NA,"Unsterile root",0.9,""
"109","STRI_F_R109","F_R109","R109","FUN",NA,NA,"13687_0803_1_01",NA,"UR109","",20190921,NA,"Unsterile root",42.1,""
"110","STRI_F_R115","F_R115","R115","FUN",NA,NA,"13687_0820_1_01",NA,"UR115","",20190921,NA,"Unsterile root",50.3,""
"111","STRI_O_R115","O_R115","R115","OOMY",NA,NA,"13687_0820_1_02",NA,"UR116","",20190921,NA,"Unsterile root",50.3,""
"112","STRI_F_R118","F_R118","R118","FUN",NA,NA,"13687_0820_1_05",NA,"UR118","",20190921,NA,"Unsterile root",39,""
"113","STRI_O_R118","O_R118","R118","OOMY",NA,NA,"13687_0820_1_06",NA,"UR119","",20190921,NA,"Unsterile root",39,""
"114","STRI_F_R121","F_R121","R121","FUN",NA,NA,"58779_0803_3_03",NA,"UR121","",20190828,NA,"Unsterile root",5.5,""
"115","STRI_F_R123","F_R123","R123","FUN",NA,NA,"01687_0803_3_01",NA,"UR123","",20190826,NA,"Unsterile root",4.4,"Broken tube, so partial sample lost"
"116","STRI_F_R124","F_R124","R124","FUN",NA,NA,"01772_0803_3_01",NA,"UR124","",20190826,NA,"Unsterile root",4.1,""
"117","STRI_O_R124","O_R124","R124","OOMY",NA,NA,"01772_0803_3_02",NA,"UR125","",20190826,NA,"Unsterile root",4.1,""
"118","STRI_F_R125","F_R125","R125","FUN",NA,NA,"13665_0407_3_01",NA,"UR125","",20190822,NA,"Unsterile root",8.1,""
"119","STRI_F_R127","F_R127","R127","FUN",NA,NA,"03546_0407_3_01",NA,"UR127","",20190822,NA,"Unsterile root",8.5,""
"120","STRI_F_R128","F_R128","R128","FUN",NA,NA,"01401_1901_3_01",NA,"UR128","",20190822,NA,"Unsterile root",28.3,""
"121","STRI_F_R129","F_R129","R129","FUN",NA,NA,"01687_0803_3_03",NA,"UR129","",20190826,NA,"Unsterile root",6,""
"122","STRI_O_R129","O_R129","R129","OOMY",NA,NA,"01687_0803_3_04",NA,"UR130","",20190826,NA,"Unsterile root",6,""
"123","STRI_F_R130","F_R130","R130","FUN",NA,NA,"03546_0407_3_02",NA,"UR130","",20190822,NA,"Unsterile root",17,""
"124","STRI_O_R130","O_R130","R130","OOMY",NA,NA,"03546_0407_3_03",NA,"UR131","",20190822,NA,"Unsterile root",17,""
"125","STRI_F_R131","F_R131","R131","FUN",NA,NA,"01772_1901_3_01",NA,"UR131","",20190826,NA,"Unsterile root",4.8,""
"126","STRI_O_R131","O_R131","R131","OOMY",NA,NA,"01772_1901_3_02",NA,"UR132","",20190826,NA,"Unsterile root",4.8,""
"127","STRI_F_R132","F_R132","R132","FUN",NA,NA,"03546_0803_3_02",NA,"UR132","",20190822,NA,"Unsterile root",5,""
"128","STRI_F_R133","F_R133","R133","FUN",NA,NA,"01772_1901_3_02",NA,"UR133","",20190826,NA,"Unsterile root",21.3,""
"129","STRI_O_R133","O_R133","R133","OOMY",NA,NA,"01772_1901_3_03",NA,"UR134","",20190826,NA,"Unsterile root",21.3,""
"130","STRI_F_R135","F_R135","R135","FUN",NA,NA,"41346_0407_1_01",NA,"UR135","",20190822,NA,"Unsterile root",6.5,""
"131","STRI_F_R136","F_R136","R136","FUN",NA,NA,"15809_1901_3_01",NA,"UR136","",20190822,NA,"Unsterile root",11.6,""
"132","STRI_O_R136","O_R136","R136","OOMY",NA,NA,"15809_1901_3_02",NA,"UR137","",20190822,NA,"Unsterile root",11.6,""
"133","STRI_F_R137","F_R137","R137","FUN",NA,NA,"41346_1901_3_01",NA,"UR137","",20190822,NA,"Unsterile root",13.8,""
"134","STRI_F_R138","F_R138","R138","FUN",NA,NA,"12249_0820_3_02",NA,"UR138","",20190822,NA,"Unsterile root",5.8,""
"135","STRI_F_R139","F_R139","R139","FUN",NA,NA,"15809_0820_1_02",NA,"UR139","",20190826,NA,"Unsterile root",3.4,""
"136","STRI_O_R139","O_R139","R139","OOMY",NA,NA,"15809_0820_1_03",NA,"UR140","",20190826,NA,"Unsterile root",3.4,""
"137","STRI_F_R140","F_R140","R140","FUN",NA,NA,"01772_0803_3_02",NA,"UR140","",20190826,NA,"Unsterile root",2,""
"138","STRI_O_R140","O_R140","R140","OOMY",NA,NA,"01772_0803_3_03",NA,"UR141","",20190826,NA,"Unsterile root",2,""
"139","STRI_F_R141","F_R141","R141","FUN",NA,NA,"01772_0803_3_03",NA,"UR141","",20190826,NA,"Unsterile root",3.8,""
"140","STRI_F_R142","F_R142","R142","FUN",NA,NA,"12855_0407_3_01",NA,"UR142","",20190820,NA,"Unsterile root",9.2,""
"141","STRI_F_R143","F_R143","R143","FUN",NA,NA,"58779_0803_1_01",NA,"UR143","",20190822,NA,"Unsterile root",4.4,""
"142","STRI_F_R144","F_R144","R144","FUN",NA,NA,"41346_0803_1_03",NA,"UR144","",20190822,NA,"Unsterile root",8.7,""
"143","STRI_F_R145","F_R145","R145","FUN",NA,NA,"42320_0803_3_01",NA,"UR145","",20190828,NA,"Unsterile root",4.2,""
"144","STRI_F_R146","F_R146","R146","FUN",NA,NA,"42320_0820_1_04",NA,"UR146","",20190820,NA,"Unsterile root",3.9,"Lost some sample to cracked tube"
"145","STRI_F_R147","F_R147","R147","FUN",NA,NA,"42320_1901_3_03",NA,"UR147","",20190820,NA,"Unsterile root",4.4,""
"146","STRI_O_R147","O_R147","R147","OOMY",NA,NA,"42320_1901_3_04",NA,"UR148","",20190820,NA,"Unsterile root",4.4,""
"147","STRI_F_R148","F_R148","R148","FUN",NA,NA,"12855_0803_3_01",NA,"UR148","",20190826,NA,"Unsterile root",7.9,"Lost some sample to cracked tube"
"148","STRI_F_R149","F_R149","R149","FUN",NA,NA,"41607_0803_3_01",NA,"UR149","",20190820,NA,"Unsterile root",6.4,""
"149","STRI_F_R150","F_R150","R150","FUN",NA,NA,"13687_0407_3_01",NA,"UR150","",20190828,NA,"Unsterile root",2.8,""
"150","STRI_F_R151","F_R151","R151","FUN",NA,NA,"01401_0803_1_04",NA,"UR151","",20190828,NA,"Unsterile root",3.6,""
"151","STRI_O_R151","O_R151","R151","OOMY",NA,NA,"01401_0803_1_05",NA,"UR152","",20190828,NA,"Unsterile root",3.6,""
"152","STRI_F_R152","F_R152","R152","FUN",NA,NA,"01401_0820_1_05",NA,"UR152","",20190828,NA,"Unsterile root",2.1,""
"153","STRI_F_R153","F_R153","R153","FUN",NA,NA,"01401_0820_1_02",NA,"UR153","",20190828,NA,"Unsterile root",8,""
"154","STRI_F_R154","F_R154","R154","FUN",NA,NA,"58779_0407_3_01",NA,"UR154","",20190828,NA,"Unsterile root",13.9,""
"155","STRI_O_R154","O_R154","R154","OOMY",NA,NA,"58779_0407_3_02",NA,"UR155","",20190828,NA,"Unsterile root",13.9,""
"156","STRI_F_R155","F_R155","R155","FUN",NA,NA,"58779_0803_3_02",NA,"UR155","",20190828,NA,"Unsterile root",4.3,""
