Seedling_ID,Sample_Name,Tube_Sample,Sample,Group,Tube_label,Sample_type,Sample_weight_mg,Seedling_species,Adult_tag,Adult_species,Identifier,Soil_sample_number,Seedling_status_at_collection,Date_seedling_collected,Date_seedling_plated,Date_seedling_stored,Roots_box_position,Roots_sterile_box_positions,Stem_box_position,Stem_sterile_box_position,Leaves_box_position,Leaves_sterile_box_position,Seedling_collection_photo,Seedling_Collector,SequenceRoots,SequenceRootsSterile,SequenceStems,SequenceLeaves,Notes,...24
12249_0820_1_06,STRI_O_R015,O_R015,R015,OOMY,UR016,Unsterile root,1.7,HT,12249,HT,6,NA,Healthy,20190903,NA,NA,1_G5,NA,S_G5,NA,L_G5,NA,NA,DP,Yes,No,No,No,From box,NA
12249_0820_1_06,STRI_F_R191,F_R191,R191,FUN,UR191,Unsterile root,NA,HT,12249,HT,6,NA,Healthy,20190903,NA,NA,1_G5,NA,S_G5,NA,L_G5,NA,NA,DP,Yes,No,No,No,From box,NA
12249_0820_1_08,STRI_F_R006,F_R006,R006,FUN,UR006,Unsterile root,7.6,HT,12249,HT,8,NA,Healthy,20191011,NA,20191015,B1_3B,Bag,Bag,Bag,Bag,Bag,IMG_4974.JPG,JS,Yes,Yes,Yes,Yes,NA,NA
12249_1901_2_01,STRI_F_R247,F_R247,R247,FUN,UR247,Unsterile root,8.2,SA,12249,HC,N1,NA,Pathogen,20191001,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4882.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
12249_1901_3_01,STRI_F_R053,F_R053,R053,FUN,UR053,Unsterile root,38,SA,12249,HC,NA,NA,Healthy,20190911,NA,NA,1_C4,NA,S_H9,NA,L_I9,NA,NA,NA,Yes,Yes,No,No,NA,NA
12525_0407_1_01,STRI_F_L231,F_L231,L231,FUN,L231,Sterile leaf,52.2,DG,12525,DG,1,13,Healthy,20190921,NA,NA,B1_2C,NA,NA,B_I9,B_B3,B_A9,IMG_4793.JPG,JS,Yes,No,Yes,Yes,Few roots excavated,NA
12525_0407_2_01,STRI_F_R248,F_R248,R248,FUN,UR248,Unsterile root,3.5,DG,12525,DG,N1,NA,Pathogen,20191001,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4883.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
12525_0407_2_01,STRI_F_L101,F_L101,L101,FUN,L101,Sterile leaf,45.3,DG,12525,DG,N1,NA,Pathogen,20191001,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4883.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
12525_0407_2_04,STRI_F_R033,F_R033,R033,FUN,UR033,Unsterile root,21.8,DG,12525,DG,N4,NA,Pathogen,20191001,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4881.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
12525_0407_2_04,STRI_F_L035,F_L035,L035,FUN,L035,Sterile leaf,57.4,DG,12525,DG,N4,NA,Pathogen,20191001,NA,NA,Bag,Bag,Bag,Bag,Bag,Bag,IMG_4881.JPG,RP,Yes,Yes,Yes,Yes,NA,NA
